6.505000000000000;A1;C00;  - Next request to be sent at 7.005000
7.005000000000000;A1;F00; RequestInformationToAp() (request #13)
7.005000000000000;A1;F00; InportReceivingInformationFromAp()
7.005000000000000;A1;C03;  - Action (1):
7.005000000000000;A1;C03;    · channel = 1
7.005000000000000;A1;C03;    · cca = -82.000000 dBm
7.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
7.005000000000000;A1;C03;    · max_bandwidth = 1
7.005000000000000;A1;C03;  - Performance:
7.005000000000000;A1;C03;    · Average throughput = 13.22 Mbps
7.005000000000000;A1;C03;    · Average delay = 0.0052 s
7.005000000000000;A1;C03;    · Maximum delay = 0.0344 s
7.005000000000000;A1;C03;    · Minimum delay = 0.0000 s
7.005000000000000;A1;C03;    · Associated reward = 0.301402
7.005000000000000;A1;F00; ComputeNewConfiguration()
7.005000000000000;A1;F00; SendNewConfigurationToAp()
7.005000000000000;A1;C03;  - Action (0):
7.005000000000000;A1;C03;    · channel = 0
7.005000000000000;A1;C03;    · cca = -82.000000 dBm
7.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
7.005000000000000;A1;C03;    · max_bandwidth = 1
7.005000000000000;A1;C00;  - Next request to be sent at 7.505000
7.505000000000000;A1;F00; RequestInformationToAp() (request #14)
7.505000000000000;A1;F00; InportReceivingInformationFromAp()
7.505000000000000;A1;C03;  - Action (0):
7.505000000000000;A1;C03;    · channel = 0
7.505000000000000;A1;C03;    · cca = -82.000000 dBm
7.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
7.505000000000000;A1;C03;    · max_bandwidth = 1
7.505000000000000;A1;C03;  - Performance:
7.505000000000000;A1;C03;    · Average throughput = 0.00 Mbps
7.505000000000000;A1;C03;    · Average delay = 0.0173 s
7.505000000000000;A1;C03;    · Maximum delay = 0.0173 s
7.505000000000000;A1;C03;    · Minimum delay = 0.0173 s
7.505000000000000;A1;C03;    · Associated reward = 0.000000
7.505000000000000;A1;F00; ComputeNewConfiguration()
7.505000000000000;A1;F00; SendNewConfigurationToAp()
7.505000000000000;A1;C03;  - Action (1):
7.505000000000000;A1;C03;    · channel = 1
7.505000000000000;A1;C03;    · cca = -82.000000 dBm
7.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
7.505000000000000;A1;C03;    · max_bandwidth = 1
7.505000000000000;A1;C00;  - Next request to be sent at 8.005000
8.005000000000001;A1;F00; RequestInformationToAp() (request #15)
8.005000000000001;A1;F00; InportReceivingInformationFromAp()
8.005000000000001;A1;C03;  - Action (1):
8.005000000000001;A1;C03;    · channel = 1
8.005000000000001;A1;C03;    · cca = -82.000000 dBm
8.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
8.005000000000001;A1;C03;    · max_bandwidth = 1
8.005000000000001;A1;C03;  - Performance:
8.005000000000001;A1;C03;    · Average throughput = 0.00 Mbps
8.005000000000001;A1;C03;    · Average delay = -nan s
8.005000000000001;A1;C03;    · Maximum delay = 0.0000 s
8.005000000000001;A1;C03;    · Minimum delay = 10000.0000 s
8.005000000000001;A1;C03;    · Associated reward = 0.000000
8.005000000000001;A1;F00; ComputeNewConfiguration()
8.005000000000001;A1;F00; SendNewConfigurationToAp()
8.005000000000001;A1;C03;  - Action (0):
8.005000000000001;A1;C03;    · channel = 0
8.005000000000001;A1;C03;    · cca = -82.000000 dBm
8.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
8.005000000000001;A1;C03;    · max_bandwidth = 1
8.005000000000001;A1;C00;  - Next request to be sent at 8.505000
8.505000000000001;A1;F00; RequestInformationToAp() (request #16)
8.505000000000001;A1;F00; InportReceivingInformationFromAp()
8.505000000000001;A1;C03;  - Action (0):
8.505000000000001;A1;C03;    · channel = 0
8.505000000000001;A1;C03;    · cca = -82.000000 dBm
8.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
8.505000000000001;A1;C03;    · max_bandwidth = 1
8.505000000000001;A1;C03;  - Performance:
8.505000000000001;A1;C03;    · Average throughput = 15.05 Mbps
8.505000000000001;A1;C03;    · Average delay = 0.0080 s
8.505000000000001;A1;C03;    · Maximum delay = 0.0288 s
8.505000000000001;A1;C03;    · Minimum delay = 0.0000 s
8.505000000000001;A1;C03;    · Associated reward = 0.342974
8.505000000000001;A1;F00; ComputeNewConfiguration()
8.505000000000001;A1;F00; SendNewConfigurationToAp()
8.505000000000001;A1;C03;  - Action (1):
8.505000000000001;A1;C03;    · channel = 1
8.505000000000001;A1;C03;    · cca = -82.000000 dBm
8.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
8.505000000000001;A1;C03;    · max_bandwidth = 1
8.505000000000001;A1;C00;  - Next request to be sent at 9.005000
9.005000000000001;A1;F00; RequestInformationToAp() (request #17)
9.005000000000001;A1;F00; InportReceivingInformationFromAp()
9.005000000000001;A1;C03;  - Action (1):
9.005000000000001;A1;C03;    · channel = 1
9.005000000000001;A1;C03;    · cca = -82.000000 dBm
9.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
9.005000000000001;A1;C03;    · max_bandwidth = 1
9.005000000000001;A1;C03;  - Performance:
9.005000000000001;A1;C03;    · Average throughput = 0.46 Mbps
9.005000000000001;A1;C03;    · Average delay = 0.0231 s
9.005000000000001;A1;C03;    · Maximum delay = 0.0231 s
9.005000000000001;A1;C03;    · Minimum delay = 0.0231 s
9.005000000000001;A1;C03;    · Associated reward = 0.010393
9.005000000000001;A1;F00; ComputeNewConfiguration()
9.005000000000001;A1;F00; SendNewConfigurationToAp()
9.005000000000001;A1;C03;  - Action (0):
9.005000000000001;A1;C03;    · channel = 0
9.005000000000001;A1;C03;    · cca = -82.000000 dBm
9.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
9.005000000000001;A1;C03;    · max_bandwidth = 1
9.005000000000001;A1;C00;  - Next request to be sent at 9.505000
9.505000000000001;A1;F00; RequestInformationToAp() (request #18)
9.505000000000001;A1;F00; InportReceivingInformationFromAp()
9.505000000000001;A1;C03;  - Action (0):
9.505000000000001;A1;C03;    · channel = 0
9.505000000000001;A1;C03;    · cca = -82.000000 dBm
9.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
9.505000000000001;A1;C03;    · max_bandwidth = 1
9.505000000000001;A1;C03;  - Performance:
9.505000000000001;A1;C03;    · Average throughput = 0.00 Mbps
9.505000000000001;A1;C03;    · Average delay = -nan s
9.505000000000001;A1;C03;    · Maximum delay = 0.0000 s
9.505000000000001;A1;C03;    · Minimum delay = 10000.0000 s
9.505000000000001;A1;C03;    · Associated reward = 0.000000
9.505000000000001;A1;F00; ComputeNewConfiguration()
9.505000000000001;A1;F00; SendNewConfigurationToAp()
9.505000000000001;A1;C03;  - Action (1):
